,L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,IC50Dark(M*10^-6),IC50Dark_standard_error(M*10^-6),IC50Light(M*10^-6),IC50Light_standard_error(M*10^-6),Excitation_Wavelength(nm),Irradiation_Time(minutes),Irradiation_Power(W*m^-2),Cell_line,Time(h),DOI,Year,Comments
0,[c-]1ccccc1-c1nc2ccccc2[nH]1,[c-]1ccccc1-c1nc2ccccc2[nH]1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1a,21.0,2.0,0.7,0.1,420,60.0,77.0,HeLa,2.0,10.1039/C9QI00811J,2019,
1,Cn1c(-c2[c-]cccc2)nc2ccccc21,Cn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1b,2.57,0.03,0.48,0.02,420,60.0,77.0,HeLa,2.0,10.1039/C9QI00811J,2019,
2,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1c,>100,,0.866,0.009,420,60.0,77.0,HeLa,2.0,10.1039/C9QI00811J,2019,
3,[c-]1cc2ccccc2cc1-c1nc2ccccc2[nH]1,[c-]1cc2ccccc2cc1-c1nc2ccccc2[nH]1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,2a,>50,,2.64,0.04,420,60.0,77.0,HeLa,2.0,10.1039/C9QI00811J,2019,
4,Cn1c(-c2[c-]cc3ccccc3c2)nc2ccccc21,Cn1c(-c2[c-]cc3ccccc3c2)nc2ccccc21,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,2b,3.5,0.2,0.21,0.02,420,60.0,77.0,HeLa,2.0,10.1039/C9QI00811J,2019,
5,FC(F)(F)c1ccc(Cn2c(-c3[c-]cc4ccccc4c3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cc4ccccc4c3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,2c,>50,,1.26,0.04,420,60.0,77.0,HeLa,2.0,10.1039/C9QI00811J,2019,
6,[c-]1ccsc1-c1nc2ccccc2[nH]1,[c-]1ccsc1-c1nc2ccccc2[nH]1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3a,2.9,0.2,1.4,0.2,420,60.0,77.0,HeLa,2.0,10.1039/C9QI00811J,2019,
7,Cn1c(-c2[c-]ccs2)nc2ccccc21,Cn1c(-c2[c-]ccs2)nc2ccccc21,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3b,1.1,0.3,0.016,0.006,420,60.0,77.0,HeLa,2.0,10.1039/C9QI00811J,2019,
8,FC(F)(F)c1ccc(Cn2c(-c3[c-]ccs3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]ccs3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3c,13.0,1.0,0.64,0.09,420,60.0,77.0,HeLa,2.0,10.1039/C9QI00811J,2019,
9,Cc1c(C)c(C)[c-](C)c1C,O=C([N-]c1ccc(F)cc1F)c1ccccc1,[Cl-],,,1,34.1,0.7,,,,,,HT-29,120.0,10.1039/c2dt32104a,2012,
10,Cc1c(C)c(C)[c-](C)c1C,O=C([N-]c1cc(F)ccc1F)c1ccccc1,[Cl-],,,2,81.0,1.0,,,,,,HT-29,120.0,10.1039/c2dt32104a,2012,
11,Cc1c(C)c(C)[c-](C)c1C,C/C(=C/C(=O)c1cccc(F)c1)[N-]c1ccccc1,[Cl-],,,3,5.1,0.3,,,,,,HT-29,120.0,10.1039/c2dt32104a,2012,
12,Cc1c(C)c(C)[c-](C)c1C,O=C1C=C([O-])C(=O)c2ccccc21,[Cl-],,,5,20.0,1.0,,,,,,HT-29,120.0,10.1039/c2dt32104a,2012,
13,Cc1c(C)c(C)[c-](C)c1C,O=C([N-]c1ccc(F)cc1F)c1ccccc1,[Cl-],,,1,39.0,2.0,,,,,,MCF-7,120.0,10.1039/c2dt32104a,2012,
14,Cc1c(C)c(C)[c-](C)c1C,O=C([N-]c1cc(F)ccc1F)c1ccccc1,[Cl-],,,2,149.0,1.0,,,,,,MCF-7,120.0,10.1039/c2dt32104a,2012,
15,Cc1c(C)c(C)[c-](C)c1C,C/C(=C/C(=O)c1cccc(F)c1)[N-]c1ccccc1,[Cl-],,,3,11.0,0.4,,,,,,MCF-7,120.0,10.1039/c2dt32104a,2012,
16,Cc1c(C)c(C)[c-](C)c1C,O=C1C=C([O-])C(=O)c2ccccc21,[Cl-],,,5,13.2,0.2,,,,,,MCF-7,120.0,10.1039/c2dt32104a,2012,
17,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,c1ccc(-c2ccccn2)nc1,,F[P-](F)(F)(F)(F)F,1,9.6,0.5,,,,,,HeLa,48.0,10.1039/c0dt00501k,2011,
18,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,c1cnc2c(c1)ccc1cccnc12,,F[P-](F)(F)(F)(F)F,2,9.8,0.7,,,,,,HeLa,48.0,10.1039/c0dt00501k,2011,
19,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,,F[P-](F)(F)(F)(F)F,3,6.0,0.9,,,,,,HeLa,48.0,10.1039/c0dt00501k,2011,
20,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,,F[P-](F)(F)(F)(F)F,4,4.0,0.2,,,,,,HeLa,48.0,10.1039/c0dt00501k,2011,
21,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,9.7,0.2,,,,,,A549,48.0,10.1016/j.jinorgbio.2022.111913,2022,
22,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)c3c4ccccc4cc4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-9-Ac,1.8,0.2,,,,,,A549,48.0,10.1016/j.jinorgbio.2022.111913,2022,
23,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,20.8,0.3,,,,,,A549cisR,48.0,10.1016/j.jinorgbio.2022.111913,2022,
24,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)c3c4ccccc4cc4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-9-Ac,4.9,0.3,,,,,,A549cisR,48.0,10.1016/j.jinorgbio.2022.111913,2022,
25,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,11.6,0.3,,,,,,A2780,48.0,10.1016/j.jinorgbio.2022.111913,2022,
