SMILES_Ligands,Counterion,Abbreviation_in_the_article,IC50_Dark(M*10^-6),IC50_Dark_standard_error(M*10^-6),IC50_Dark_value,IC50_Light(M*10^-6),IC50_Light_standard_error(M*10^-6),IC50_Light_value,Excitation_Wavelength(nm),Irradiation_Time(minutes),Irradiation_Power(W*m^-2),Cell_line,Time(h),DOI,Year,IC50_Cisplatin(M*10^-6),IC50_Cisplatin_standard_error(M*10^-6),IC50_Cisplatin_value,IC50_class,num_ligands,Scaffold
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1.N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1,F[B-](F)(F)F,5,36,6.0,36.0,,,,,,,MCF-7,24.0,10.1021/jm301103y,2012,,,,0,4,c1ccc(C(c2ccccc2)n2cncn2)cc1.c1ccc(C(c2ccccc2)n2cncn2)cc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1
COc1cc(/C=C/C(=O)/C=C([O-])/C=C/c2ccc(O)c(OC)c2)ccc1O.Cc1ccc(C(C)C)cc1.[Cl-],,Ru-Cur,19.58,2.367,19.58,,,,,,,MCF-7,72.0,10.1021/jm200912j,2012,1.835,0.237,1.835,0,3,O=C(/C=C/C=C/c1ccccc1)/C=C/c1ccccc1.c1ccccc1.[Cl-]
COc1cc(/C=C/C(=O)/C=C([O-])/C=C/c2ccc(O)c(OC)c2)ccc1O.Cc1ccc(C(C)C)cc1.[Cl-],,Ru-Cur,13.98,1.503,13.98,,,,,,,HCT-116,72.0,10.1021/jm200912j,2012,5.217,0.348,5.217,0,3,O=C(/C=C/C=C/c1ccccc1)/C=C/c1ccccc1.c1ccccc1.[Cl-]
COc1cc(/C=C/C(=O)/C=C([O-])/C=C/c2ccc(O)c(OC)c2)ccc1O.Cc1ccc(C(C)C)cc1.[Cl-],,Ru-Cur,23.38,3.334,23.38,,,,,,,A2780,72.0,10.1021/jm200912j,2012,1.325,0.196,1.325,0,3,O=C(/C=C/C=C/c1ccccc1)/C=C/c1ccccc1.c1ccccc1.[Cl-]
COc1cc(/C=C/C(=O)/C=C([O-])/C=C/c2ccc(O)c(OC)c2)ccc1O.Cc1ccc(C(C)C)cc1.[Cl-],,Ru-Cur,27.00,2.332,27.0,,,,,,,CP8,72.0,10.1021/jm200912j,2012,9.918,1.155,9.918,0,3,O=C(/C=C/C=C/c1ccccc1)/C=C/c1ccccc1.c1ccccc1.[Cl-]
COc1cc(/C=C/C(=O)/C=C([O-])/C=C/c2ccc(O)c(OC)c2)ccc1O.Cc1ccc(C(C)C)cc1.[Cl-],,Ru-Cur,62.33,8.934,62.33,,,,,,,A549,72.0,10.1021/jm200912j,2012,,,,0,3,O=C(/C=C/C=C/c1ccccc1)/C=C/c1ccccc1.c1ccccc1.[Cl-]
COc1cc(/C=C/C(=O)/C=C([O-])/C=C/c2ccc(O)c(OC)c2)ccc1O.Cc1ccc(C(C)C)cc1.[Cl-],,Ru-Cur,29.36,1.842,29.36,,,,,,,U-87 MG,72.0,10.1021/jm200912j,2012,,,,0,3,O=C(/C=C/C=C/c1ccccc1)/C=C/c1ccccc1.c1ccccc1.[Cl-]
C1N2CN3CN1CP(C2)C3.C1N2CN3CN1CP(C2)C3.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1,,1a,>100,,100.0,,,,,,,NCI-H460,72.0,10.1039/C0DT00206B,2010,,,,0,4,C1N2CN3CN1CP(C2)C3.C1N2CN3CN1CP(C2)C3.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1
C1N2CN3CN1CP(C2)C3.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1,,1b,27.0,1.4,27.0,,,,,,,NCI-H460,72.0,10.1039/C0DT00206B,2010,,,,0,4,C1N2CN3CN1CP(C2)C3.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1
C1N2CN3CN1CP(C2)C3.CP(C)c1ccccc1.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1,,1c,>100,,100.0,,,,,,,NCI-H460,72.0,10.1039/C0DT00206B,2010,,,,0,4,C1N2CN3CN1CP(C2)C3.c1ccccc1.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1
C1N2CN3CN1CP(C2)C3.COP(OC)OC.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1,,1e,32.1,1.3,32.1,,,,,,,NCI-H460,72.0,10.1039/C0DT00206B,2010,,,,0,4,C1N2CN3CN1CP(C2)C3.COP(OC)OC.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1
C[N+]12CN3CN(CP(C3)C1)C2.C[N+]12CN3CN(CP(C3)C1)C2.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F,2a,>100,,100.0,,,,,,,NCI-H460,72.0,10.1039/C0DT00206B,2010,,,,0,4,C1N2C[NH+]3CN1CP(C2)C3.C1N2C[NH+]3CN1CP(C2)C3.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1
